network,metric_name,metric_value
2018#10,Community modularity,0.8329442134506536
2018#10,Average internal vs external edge ratio,1.3973447133899957
2018#10-GCC,Total node count,15523.0
2018#10-GCC,Total edge count,23142.0
2018#10-GCC,Density,0.00019209123482017942
2016#6,Total comment count,35901.0
2016#6,Unique users,15575.0
2016#6,Unique posts with comments,2501.0
2016#6,Total comments without text,4.0
2016#6,Total comments that are replies,35897.0
2016#6,Valid user to user replies,25123.0
2016#6,Unique user to user reply pairs,20166.0
2016#6,Average user reply counts,1.245809778835664
2016#6,Maximum user reply counts,22.0
2016#6,Median posts per user,1.0
2016#6,Median users per post,1.0
2016#6,Ratio of users commenting on multiple posts,9.538942942355645
2016#6,Ratio of posts with multiple users commenting,3.339363418569403
2016#6,Total node count,15962.0
2016#6,Total edge count,22661.0
2016#6,Density,0.0001778941482481014
2016#6,Assortativity,-0.08199583793585079
2016#6,Community count,278.0
2016#6,Community modularity,0.8464346716892642
2016#6,Average internal vs external edge ratio,1.3356303563381682
2016#6-GCC,Total node count,15421.0
2016#6-GCC,Total edge count,22346.0
2016#6-GCC,Density,0.00018794590999808152
2018#6,Total comment count,32932.0
2018#6,Unique users,15424.0
2018#6,Unique posts with comments,1628.0
2018#6,Total comments without text,18.0
2018#6,Total comments that are replies,32914.0
