network,metric_name,metric_value
2015#7,Unique posts with comments,2087.0
2015#7,Total comments without text,7.0
2015#7,Total comments that are replies,25861.0
2015#7,Valid user to user replies,16956.0
2015#7,Unique user to user reply pairs,13645.0
2015#7,Average user reply counts,1.24265298644192
2015#7,Maximum user reply counts,26.0
2015#7,Median posts per user,1.0
2015#7,Median users per post,1.0
2015#7,Ratio of users commenting on multiple posts,10.030511060259345
2015#7,Ratio of posts with multiple users commenting,4.7101449275362315
2015#4,Total comment count,23402.0
2015#4,Unique users,10700.0
2015#4,Unique posts with comments,1881.0
2015#4,Total comments without text,8.0
2015#4,Total comments that are replies,23394.0
2015#4,Valid user to user replies,14640.0
2015#4,Unique user to user reply pairs,12040.0
2015#4,Average user reply counts,1.2159468438538206
2015#4,Maximum user reply counts,20.0
2015#4,Median posts per user,1.0
2015#4,Median users per post,1.0
2015#4,Ratio of users commenting on multiple posts,10.679611650485437
2015#4,Ratio of posts with multiple users commenting,5.472197705207414
2018#3,Total comment count,48877.0
2018#3,Unique users,21255.0
2018#3,Unique posts with comments,2041.0
2018#3,Total comments without text,18.0
2018#3,Total comments that are replies,48859.0
2018#3,Valid user to user replies,36133.0
2018#3,Unique user to user reply pairs,29122.0
2018#3,Average user reply counts,1.2407458278964356
2018#3,Maximum user reply counts,24.0
2018#3,Median posts per user,1.0
2018#3,Median users per post,1.0
2018#3,Ratio of users commenting on multiple posts,10.051335466111153
2018#3,Ratio of posts with multiple users commenting,2.2654564392530316
2017#9,Total comment count,43257.0
2017#9,Unique users,20196.0
2017#9,Unique posts with comments,2457.0
2017#9,Total comments without text,14.0
2017#9,Total comments that are replies,43243.0
2017#9,Valid user to user replies,30843.0
2017#9,Unique user to user reply pairs,25548.0
2017#9,Average user reply counts,1.2072569281352747
2017#9,Maximum user reply counts,19.0
2017#9,Median posts per user,1.0
2017#9,Median users per post,1.0
2017#9,Ratio of users commenting on multiple posts,9.529660203493952
2017#9,Ratio of posts with multiple users commenting,2.5839892493760797
2018#9,Total comment count,43452.0
2018#9,Unique users,17973.0
2018#9,Unique posts with comments,1809.0
2018#9,Total comments without text,15.0
2018#9,Total comments that are replies,43437.0
2018#9,Valid user to user replies,32935.0
2018#9,Unique user to user reply pairs,25650.0
2018#9,Average user reply counts,1.2840155945419103
2018#9,Maximum user reply counts,57.0
2018#9,Median posts per user,1.0
2018#9,Median users per post,1.0
2018#9,Ratio of users commenting on multiple posts,10.62438142777228
2018#9,Ratio of posts with multiple users commenting,2.556048022720427
2016#3,Total comment count,43657.0
2016#3,Unique users,17627.0
2016#3,Unique posts with comments,3021.0
2016#3,Total comments without text,9.0
2016#3,Total comments that are replies,43648.0
2016#3,Valid user to user replies,29549.0
2016#3,Unique user to user reply pairs,23087.0
2016#3,Average user reply counts,1.2798977779702863
2016#3,Maximum user reply counts,72.0
2016#3,Median posts per user,1.0
2016#3,Median users per post,1.0
2016#3,Ratio of users commenting on multiple posts,11.362538250926075
2016#3,Ratio of posts with multiple users commenting,4.843775165082944
2016#5,Total comment count,39445.0
2016#5,Unique users,16869.0
2016#5,Unique posts with comments,2751.0
2016#5,Total comments without text,9.0
2016#5,Total comments that are replies,39436.0
2016#5,Valid user to user replies,27137.0
2016#5,Unique user to user reply pairs,21593.0
2016#5,Average user reply counts,1.2567498726439124
2016#5,Maximum user reply counts,22.0
2016#5,Median posts per user,1.0
2016#5,Median users per post,1.0
2016#5,Ratio of users commenting on multiple posts,10.832238282961017
2016#5,Ratio of posts with multiple users commenting,3.5567236092860273
2018#5,Total comment count,38398.0
2018#5,Unique users,16049.0
2018#5,Unique posts with comments,1781.0
2018#5,Total comments without text,10.0
2018#5,Total comments that are replies,38388.0
2018#5,Valid user to user replies,29360.0
2018#5,Unique user to user reply pairs,22946.0
2018#5,Average user reply counts,1.2795258432842325
2018#5,Maximum user reply counts,41.0
2018#5,Median posts per user,1.0
2018#5,Median users per post,1.0
2018#5,Ratio of users commenting on multiple posts,9.721746784683848
2018#5,Ratio of posts with multiple users commenting,3.0808352486674164
2016#9,Total comment count,35806.0
2016#9,Unique users,15591.0
2016#9,Unique posts with comments,2993.0
2016#9,Total comments without text,27.0
2016#9,Total comments that are replies,35779.0
2016#9,Valid user to user replies,24549.0
2016#9,Unique user to user reply pairs,19801.0
2016#9,Average user reply counts,1.2397858694005353
2016#9,Maximum user reply counts,63.0
2016#9,Median posts per user,1.0
2016#9,Median users per post,1.0
2016#9,Ratio of users commenting on multiple posts,9.263838691268784
2016#9,Ratio of posts with multiple users commenting,3.5238729313296555
2015#11,Total comment count,34134.0
2015#11,Unique users,13711.0
2015#11,Unique posts with comments,3522.0
2015#11,Total comments without text,4.0
2015#11,Total comments that are replies,34130.0
2015#11,Valid user to user replies,22563.0
2015#11,Unique user to user reply pairs,17515.0
2015#11,Average user reply counts,1.2882101056237512
2015#11,Maximum user reply counts,36.0
2015#11,Median posts per user,1.0
2015#11,Median users per post,1.0
2015#11,Ratio of users commenting on multiple posts,10.113591072140295
2015#11,Ratio of posts with multiple users commenting,4.713033080908729
2015#9,Total comment count,26666.0
2015#9,Unique users,11471.0
2015#9,Unique posts with comments,2465.0
2015#9,Total comments without text,2.0
2015#9,Total comments that are replies,26664.0
2015#9,Valid user to user replies,17662.0
2015#9,Unique user to user reply pairs,14273.0
2015#9,Average user reply counts,1.2374413227772718
2015#9,Maximum user reply counts,11.0
2015#9,Median posts per user,1.0
2015#9,Median users per post,1.0
2015#9,Ratio of users commenting on multiple posts,10.181388992421418
2015#9,Ratio of posts with multiple users commenting,4.950925580817493
2015#5,Total comment count,26625.0
2015#5,Unique users,11527.0
2015#5,Unique posts with comments,2172.0
2015#5,Total comments without text,0.0
2015#5,Total comments that are replies,26625.0
2015#5,Valid user to user replies,17537.0
2015#5,Unique user to user reply pairs,14280.0
2015#5,Average user reply counts,1.2280812324929973
2015#5,Maximum user reply counts,14.0
2015#5,Median posts per user,1.0
2015#5,Median users per post,1.0
2015#5,Ratio of users commenting on multiple posts,10.390498694192265
2015#5,Ratio of posts with multiple users commenting,4.831488620818306
2015#3,Total comment count,24629.0
2015#3,Unique users,10183.0
2015#3,Unique posts with comments,1929.0
2015#3,Total comments without text,4.0
2015#3,Total comments that are replies,24625.0
2015#3,Valid user to user replies,16085.0
2015#3,Unique user to user reply pairs,12585.0
2015#3,Average user reply counts,1.278108859753675
2015#3,Maximum user reply counts,40.0
2015#3,Median posts per user,1.0
2015#3,Median users per post,1.0
2015#3,Ratio of users commenting on multiple posts,10.20637371893865
2015#3,Ratio of posts with multiple users commenting,4.9136599747297485
